t,x,y
62,598.25,31.765625
63,592.75,32.875
65,567.0,31.0625
67,558.25,32.625
68,539.25,32.625
70,517.25,32.5
71,512.5,33.25
72,509.0,33.46875
73,492.625,34.25
74,491.5,34.25
77,462.625,38.625
78,460.25,38.1875
79,444.625,38.78125
80,436.5,39.375
82,416.375,40.875
83,412.875,41.25
84,396.75,43.9375
85,392.5,45.375
86,389.0,45.625
87,368.125,50.0
88,363.375,50.03125
89,360.125,50.5
90,343.375,54.625
91,339.625,55.0
92,334.625,56.375
93,315.375,61.25
94,310.5,62.5
95,306.375,65.125
96,287.875,70.53125
97,283.0,71.625
98,279.0,72.3125
99,255.75,80.625
100,251.4375,82.6875
101,240.75,85.09375
104,211.0,99.25
105,7.5,117.5
106,13.9375,119.0625
107,20.5625,123.0
108,127.6875,138.0
109,118.1875,146.9375
110,106.0625,151.875
111,44.125,189.5
112,28.375,204.5
113,0.375,267.125
114,0.0,282.375
115,0.0,307.5
